PRODVAL,PSCODE,PSCODE_TTL,YEAR,time,PSCODE,us
2590930,311119B,"Complete swine feed, supplements, concentrates, and premixes",2007,2007,311119B,1
2639471,311119B,"Complete swine feed, supplements, concentrates, and premixes",2008,2008,311119B,1
3003087,311119B,"Complete swine feed, supplements, concentrates, and premixes",2009,2009,311119B,1
2961680,311119B,"Complete swine feed, supplements, concentrates, and premixes",2010,2010,311119B,1
3500955,311119B,"Complete swine feed, supplements, concentrates, and premixes",2011,2011,311119B,1
3813175,311119B,"Complete swine feed, supplements, concentrates, and premixes",2012,2012,311119B,1
4059995,311119B,"Complete swine feed, supplements, concentrates, and premixes",2013,2013,311119B,1
3877674,311119B,"Complete swine feed, supplements, concentrates, and premixes",2014,2014,311119B,1
3759689,311119B,"Complete swine feed, supplements, concentrates, and premixes",2015,2015,311119B,1
3877759,311119B,"Complete swine feed, supplements, concentrates, and premixes",2016,2016,311119B,1
