PRODVAL,PSCODE,PSCODE_TTL,YEAR,time,PSCODE,us
1830087,311119H,"Complete beef cattle feed, supplements, concentrates, and premixes",2007,2007,311119H,1
2029041,311119H,"Complete beef cattle feed, supplements, concentrates, and premixes",2008,2008,311119H,1
2043708,311119H,"Complete beef cattle feed, supplements, concentrates, and premixes",2009,2009,311119H,1
2076689,311119H,"Complete beef cattle feed, supplements, concentrates, and premixes",2010,2010,311119H,1
2623026,311119H,"Complete beef cattle feed, supplements, concentrates, and premixes",2011,2011,311119H,1
3020074,311119H,"Complete beef cattle feed, supplements, concentrates, and premixes",2012,2012,311119H,1
3089979,311119H,"Complete beef cattle feed, supplements, concentrates, and premixes",2013,2013,311119H,1
2908772,311119H,"Complete beef cattle feed, supplements, concentrates, and premixes",2014,2014,311119H,1
3024070,311119H,"Complete beef cattle feed, supplements, concentrates, and premixes",2015,2015,311119H,1
2880161,311119H,"Complete beef cattle feed, supplements, concentrates, and premixes",2016,2016,311119H,1
