PRODVAL,PSCODE,PSCODE_TTL,YEAR,time,PSCODE,us
810973,311119M,Other poultry and livestock feed,2002,2002,311119M,1
1575977,311119M,Other poultry and livestock feed,2003,2003,311119M,1
1103005,311119M,Other poultry and livestock feed,2004,2004,311119M,1
1193404,311119M,Other poultry and livestock feed,2005,2005,311119M,1
1196386,311119M,Other poultry and livestock feed,2006,2006,311119M,1
1246570,311119M,Other poultry and livestock feed,2007,2007,311119M,1
1601560,311119M,Other poultry and livestock feed,2008,2008,311119M,1
1613574,311119M,Other poultry and livestock feed,2009,2009,311119M,1
1679109,311119M,Other poultry and livestock feed,2010,2010,311119M,1
2091070,311119M,Other poultry and livestock feed,2011,2011,311119M,1
2234512,311119M,Other poultry and livestock feed,2012,2012,311119M,1
2356286,311119M,Other poultry and livestock feed,2013,2013,311119M,1
3144928,311119M,Other poultry and livestock feed,2014,2014,311119M,1
3011964,311119M,Other poultry and livestock feed,2015,2015,311119M,1
2973079,311119M,Other poultry and livestock feed,2016,2016,311119M,1
