PRODVAL,PSCODE,PSCODE_TTL,YEAR,time,PSCODE,us
695406,311119P,"Other prepared animal feeds, including feeding materials and adjuncts",2002,2002,311119P,1
888029,311119P,"Other prepared animal feeds, including feeding materials and adjuncts",2003,2003,311119P,1
846513,311119P,"Other prepared animal feeds, including feeding materials and adjuncts",2004,2004,311119P,1
926686,311119P,"Other prepared animal feeds, including feeding materials and adjuncts",2005,2005,311119P,1
996452,311119P,"Other prepared animal feeds, including feeding materials and adjuncts",2006,2006,311119P,1
1510580,311119P,"Other prepared animal feeds, including feeding materials and adjuncts",2007,2007,311119P,1
2287607,311119P,"Other prepared animal feeds, including feeding materials and adjuncts",2008,2008,311119P,1
2079963,311119P,"Other prepared animal feeds, including feeding materials and adjuncts",2009,2009,311119P,1
2227296,311119P,"Other prepared animal feeds, including feeding materials and adjuncts",2010,2010,311119P,1
2636060,311119P,"Other prepared animal feeds, including feeding materials and adjuncts",2011,2011,311119P,1
2158704,311119P,"Other prepared animal feeds, including feeding materials and adjuncts",2012,2012,311119P,1
2378079,311119P,"Other prepared animal feeds, including feeding materials and adjuncts",2013,2013,311119P,1
2468082,311119P,"Other prepared animal feeds, including feeding materials and adjuncts",2014,2014,311119P,1
2238830,311119P,"Other prepared animal feeds, including feeding materials and adjuncts",2015,2015,311119P,1
2420226,311119P,"Other prepared animal feeds, including feeding materials and adjuncts",2016,2016,311119P,1
