Year,Area,Homeless Estimates
2009,Manhattan,777
2009,Bronx,164
2009,Brooklyn,200
2009,Queens,98
2009,Staten Island,121
2009,Total,1360
2009,Subways,968
2009,Total Unsheltered Individuals,2328
2010,Manhattan,1145
2010,Bronx,174
2010,Brooklyn,428
2010,Queens ,112
2010,Staten Island,175
2010,Total,2034
2010,Subways,1077
2010,Total Unsheltered Individuals,3111
2011,Manhattan,786
2011,Bronx,115
2011,Brooklyn,242
2011,Queens,102
2011,Staten Island,128
2011,Total,1373
2011,Subways,1275
2011,Total Unsheltered Individuals,2648
2012,Manhattan,906
2012,Bronx,169
2012,Brooklyn,368
2012,Queens,86
2012,Staten Island,99
2012,Total,1628
2012,Subways,1634
2012,Total Unsheltered Individuals,3262
